room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,property_type,last_modified,latitude,longitude,location
2550999,1419,13060597,Shared room,,Salvador,SALVADOR,PASSO,1,0.0,4,1.0,,83.0,,the hostel sobrado 25,Bed & Breakfast,2017-07-01 20:50:42.252246,-12.970069,-38.507444,0101000020E61000009546CCECF34043C013BA4BE2ACF029C0
2141298,1419,10927942,Shared room,,Salvador,SALVADOR,VITORIA,6,4.0,6,1.0,,64.0,,Sereia Boutique Cultural,House,2017-07-01 20:50:41.591450,-13.011223,-38.499755,0101000020E61000009981CAF8F73F43C00FED6305BF052AC0
134087,1419,658147,Shared room,,Salvador,SALVADOR,SE,15,5.0,6,1.0,,57.0,,Pelourinho-Salvador-Bahia-Brazil 3,Bed & Breakfast,2017-07-01 20:50:38.952332,-12.97498,-38.510031,0101000020E61000001C7920B2484143C017821C9430F329C0
17130288,1419,103139033,Shared room,,Salvador,SALVADOR,ITAPOA,0,0.0,4,1.0,,56.0,,Oásis A Salvador!!,House,2017-07-01 20:50:38.948081,-12.959695,-38.400601,0101000020E610000059DFC0E4463343C0FA449E245DEB29C0
2998957,1419,14247770,Shared room,,Salvador,SALVADOR,PASSO,14,4.5,8,1.0,,24.0,,Charmoso e Aconchegante Centr Hist.,Dorm,2017-07-01 20:50:34.147313,-12.968102,-38.50585,0101000020E61000003F575BB1BF4043C06762BA10ABEF29C0
1426587,1419,7672291,Shared room,,Salvador,SALVADOR,VITORIA,1,0.0,6,1.0,,11.0,,Hostel Cancún ( Quarto coletivo 6 camas ),Bed & Breakfast,2017-07-01 20:50:34.145263,-13.007542,-38.52861,0101000020E6100000562B137EA94343C060B1868BDC032AC0
16348016,1419,106875490,Shared room,,Salvador,SALVADOR,AMARALINA,0,0.0,2,1.0,,31.0,,Apartamento Nordeste,Apartment,2017-07-01 20:50:34.143180,-13.01068,-38.475197,0101000020E610000023145B41D33C43C04C7155D977052AC0
6832348,1419,34201811,Shared room,,Salvador,SALVADOR,PASSO,0,0.0,6,1.0,,15.0,,apartamento Santo Antonio,Apartment,2017-07-01 20:50:34.135666,-12.966203,-38.505791,0101000020E61000003ACE6DC2BD4043C01C98DC28B2EE29C0
17207074,1419,115809763,Shared room,,Salvador,SALVADOR,VITORIA,0,0.0,2,1.0,,31.0,,Quarto compartilhado no Canela,Apartment,2017-07-01 20:50:34.130550,-12.993127,-38.518088,0101000020E61000009B3924B5504243C0978C63247BFC29C0
16647498,1419,110025848,Shared room,,Salvador,SALVADOR,AMARALINA,0,0.0,5,1.0,,37.0,,Hostel com vista privilegiada para um lindo mar.,Hostel,2017-07-01 20:50:34.128453,-13.013284,-38.475612,0101000020E6100000E6CAA0DAE03C43C0C11E1329CD062AC0
