Country,Continent,Area,Population
China,Asia,9640821,1393784594
India,Asia,3287240,1336310037
United States,America,9833517,327742522
Indonesia,Asia,1904569,265015300
Brazil,America,8515767,209515562
Pakistan,Asia,803940,201828217
Nigeria	,Africa,923768,195875237
Bangladesh,Asia,143998,165103214
Russia,Asia,17125242,146877088
Japan,Asia,377944,126490000
Mexico,America,1967138,124737789
Ethiopia,Africa,1063652,107534882
Philippines,Asia,300000,106389960
Egypt,Africa,1002450,97475179
Vietnam,Asia,331212,94660000
