MsgTempo,Percentual
Bom,20.8
Bom,18.7
Bom,19.9
Bom,20.6
Bom,22.0
Bom,23.4
Bom,22.8
Bom,24.9
Bom,22.2
Bom,20.3
Bom,24.9
Bom,22.3
Bom,27.0
Bom,20.4
Bom,22.2
Bom,24.0
Bom,21.2
Bom,22.1
Bom,22.0
Bom,22.7
Ruim,18.0
Ruim,19.0
Ruim,19.2
Ruim,18.8
Ruim,18.4
Ruim,19.0
Ruim,18.5
Ruim,16.1
Ruim,16.8
Ruim,14.0
Ruim,17.0
Ruim,13.6
Ruim,17.5
Ruim,19.9
Ruim,20.2
Ruim,18.8
Ruim,18.0
Ruim,23.2
Ruim,18.2
Ruim,19.4
Nenhuma,19.9
Nenhuma,16.0
Nenhuma,15.0
Nenhuma,20.1
Nenhuma,19.3
Nenhuma,19.2
Nenhuma,18.0
Nenhuma,19.2
Nenhuma,21.1
Nenhuma,18.8
Nenhuma,18.5
Nenhuma,19.3
Nenhuma,19.3
Nenhuma,19.4
Nenhuma,10.8
Nenhuma,19.1
Nenhuma,19.7
Nenhuma,19.8
Nenhuma,21.3
Nenhuma,20.6
